id,date,location,month,year,month(no),time,OSGridRef,latitude ,longitude,Nation,Notes
1,24,Carlisle,july,1307,7,24-7-1307,NY3954755548,54.891,-2.944,England,
2,6,Dumfries,august,1307,8,6-8-1307,NX9773776234,55.07,-3.603,Scotland,
3,18,Sanquhar,august,1307,8,18-8-1307,NS7811609901,55.36793,-3.92463,Scotland,Appears as Senewhare
4,20,Cumnock,august,1307,8,20-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
5,21,Cumnock,august,1307,8,21-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
6,22,Cumnock,august,1307,8,22-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
7,23,Cumnock,august,1307,8,23-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
8,24,Cumnock,august,1307,8,24-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
9,25,Cumnock,august,1307,8,25-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
10,26,Cumnock,august,1307,8,26-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
11,28,Cumnock,august,1307,8,28-8-1307,NS5693120006,55.45294,-4.2638,Scotland,Appears as Comenok
12,28,Sanquhar,august,1307,8,28-8-1307,NS7811609901,55.36793,-3.92463,Scotland,Appears as Senewhare
13,30,Tynewald,august,1307,8,30-8-1307,NY0033781556,55.118333,-3.564167,Scotland,
14,30,Dalgarnock,august,1307,8,30-8-1307,NX8785293640,55.2242,-3.7646,Scotland,
15,31,Tynewald,august,1307,8,31-8-1307,NY0033781556,55.118333,-3.564167,Scotland,Appears as Anannd
16,1,Annan,september,1307,9,1-9-1307,NY1907966111,54.983,-3.266,Scotland,
17,2,Carlisle,september,1307,9,2-9-1307,NY3954755548,54.891,-2.944,England,
18,3,Carlisle,september,1307,9,3-9-1307,NY3954755548,54.891,-2.944,England,
19,3,Penrith,september,1307,9,3-9-1307,NY5141230231,54.6648,-2.7548,England,
20,4,Carlisle,september,1307,9,4-9-1307,NY3954755548,54.891,-2.944,England,
21,4,Penrith,september,1307,9,4-9-1307,NY5141230231,54.6648,-2.7548,England,
22,5,Appleby,september,1307,9,5-9-1307,NY6874720307,54.577,-2.485,England,
23,6,Bowes,september,1307,9,6-9-1307,NY9951513411,54.516,-2.009,England,
24,6,Burgh subtus Staynmor,september,1307,9,6-9-1307,NY3280259206,54.923,-3.05,England,
25,10,Knaresborough,september,1307,9,10-9-1307,SE3502957062,54.0084,-1.467,England,
26,11,Knaresborough,september,1307,9,11-9-1307,SE3502957062,54.0084,-1.467,England,
27,12,Knaresborough,september,1307,9,12-9-1307,SE3502957062,54.0084,-1.467,England,
28,12,York,september,1307,9,12-9-1307,SE6030051700,53.957883,-1.0825156,England,
29,13,York,september,1307,9,13-9-1307,SE6030051700,53.957883,-1.0825156,England,
30,15,Doncaster,september,1307,9,15-9-1307,SE5758802385,53.515,-1.133,England,
31,16,Worksop,september,1307,9,16-9-1307,SK5844478937,53.304167,-1.124444,England,
32,16,Clipstone,september,1307,9,16-9-1307,SK5977264026,53.17,-1.1073,England,
33,17,Clipstone,september,1307,9,17-9-1307,SK5977264026,53.17,-1.1073,England,
34,20,Clipstone,september,1307,9,20-9-1307,SK5977264026,53.17,-1.1073,England,
35,21,Clipstone,september,1307,9,21-9-1307,SK5977264026,53.17,-1.1073,England,
36,23,Clipstone,september,1307,9,23-9-1307,SK5977264026,53.17,-1.1073,England,
37,24,Clipstone,september,1307,9,24-9-1307,SK5977264026,53.17,-1.1073,England,
38,25,Clipstone,september,1307,9,25-9-1307,SK5977264026,53.17,-1.1073,England,
39,26,Clipstone,september,1307,9,26-9-1307,SK5977264026,53.17,-1.1073,England,
40,27,Clipstone,september,1307,9,27-9-1307,SK5977264026,53.17,-1.1073,England,
41,27,Newstead in Shirwood,september,1307,9,27-9-1307,SK5222652812,53.07,-1.222,England,
42,29,Lenton,september,1307,9,29-9-1307,SK5553039387,52.949,-1.175,England,
43,30,Lenton,september,1307,9,30-9-1307,SK5553039387,52.949,-1.175,England,
44,1,Nottingham,october,1307,10,1-10-1307,SK5700040000,52.954357,-1.1530111,England,
45,1,Lenton,october,1307,10,1-10-1307,SK5553039387,52.949,-1.175,England,
46,2,Nottingham,october,1307,10,2-10-1307,SK5700040000,52.954357,-1.1530111,England,
47,3,Nottingham,october,1307,10,3-10-1307,SK5700040000,52.954357,-1.1530111,England,
48,4,Nottingham,october,1307,10,4-10-1307,SK5700040000,52.954357,-1.1530111,England,
49,5,Nottingham,october,1307,10,5-10-1307,SK5700040000,52.954357,-1.1530111,England,
50,6,Nottingham,october,1307,10,6-10-1307,SK5700040000,52.954357,-1.1530111,England,
51,8,Nottingham,october,1307,10,8-10-1307,SK5700040000,52.954357,-1.1530111,England,
52,10,Leicester,october,1307,10,10-10-1307,SK5875204306,52.633333,-1.133333,England,
53,10,Peatling Parva,october,1307,10,10-10-1307,SP5933791258,52.51599,-1.12702,England,Appears as Peeking
54,13,Guilsborough,october,1307,10,13-10-1307,SP6750273498,52.3554,-1.0103,England,Appears as Gildesburgh
55,14,Northampton,october,1307,10,14-10-1307,SP7549060562,52.238083,-0.89592755,England,
56,15,Northampton,october,1307,10,15-10-1307,SP7549060562,52.238083,-0.89592755,England,
57,16,Northampton,october,1307,10,16-10-1307,SP7549060562,52.238083,-0.89592755,England,
58,17,Northampton,october,1307,10,17-10-1307,SP7549060562,52.238083,-0.89592755,England,
59,18,Northampton,october,1307,10,18-10-1307,SP7549060562,52.238083,-0.89592755,England,
60,21,Langley,october,1307,10,21-10-1307,TL0657302592,51.711944,-0.458889,England,
61,25,Tower of London,october,1307,10,25-10-1307,TQ3360080600,51.508544,-0.076289153,England,
62,26,Westminster,october,1307,10,26-10-1307,TQ3016079670,51.500988,-0.12617168,England,
63,27,Westminster,october,1307,10,27-10-1307,TQ3016079670,51.500988,-0.12617168,England,
64,28,Westminster,october,1307,10,28-10-1307,TQ3016079670,51.500988,-0.12617168,England,
65,29,Westminster,october,1307,10,29-10-1307,TQ3016079670,51.500988,-0.12617168,England,
66,30,Westminster,october,1307,10,30-10-1307,TQ3016079670,51.500988,-0.12617168,England,
67,31,London,october,1307,10,31-10-1307,TQ3005080361,51.507222,-0.1275,England,
68,31,St. Albans,october,1307,10,31-10-1307,TL1495307566,51.755,-0.336,England,
69,1,Berkhampstead,november,1307,11,1-11-1307,SP9948207793,51.76,-0.56,England,
70,2,Berkhampstead,november,1307,11,2-11-1307,SP9948207793,51.76,-0.56,England,
71,3,Berkhampstead,november,1307,11,3-11-1307,SP9948207793,51.76,-0.56,England,
72,4,Westminster,november,1307,11,4-11-1307,TQ3016079670,51.500988,-0.12617168,England,
73,5,Westminster,november,1307,11,5-11-1307,TQ3016079670,51.500988,-0.12617168,England,
74,6,London,november,1307,11,6-11-1307,TQ3005080361,51.507222,-0.1275,England,
75,7,Westminster,november,1307,11,7-11-1307,TQ3016079670,51.500988,-0.12617168,England,
76,8,Westminster,november,1307,11,8-11-1307,TQ3016079670,51.500988,-0.12617168,England,
77,9,Westminster,november,1307,11,9-11-1307,TQ3016079670,51.500988,-0.12617168,England,
