id,location,time,OSGridRef,latitude ,longitude,Nation
1,Westminster,27-5-1199,TQ3016079670,51.500988,-0.12617168,England
12,Northampton,7-6-1199,SP7549060562,52.238083,-0.89592755,England
17,Canterbury,12-6-1199,TR1454057430,51.275608,1.0745524,England
21,Shoreham,16-6-1199,TQ5230063500,51.350174,0.18562372,England
22,Shoreham,17-6-1199,TQ5230063500,51.350174,0.18562372,England
23,Shoreham,18-6-1199,TQ5230063500,51.350174,0.18562372,England
25,Shoreham,20-6-1199,TQ5230063500,51.350174,0.18562372,England
34,Roche-Orival,29-6-1199,,49.32627753,1.020096175,France
36,Rouen,1-7-1199,,49.442778,1.088611,France
38,Pont-Audemer,3-7-1199,,49.36,0.51,France
40,Bonneville-sur-Touque,5-7-1199,,49.3389,0.1206,France
42,Argentan,7-7-1199,,48.75,-0.02,France
43,Falaise,8-7-1199,,48.897222,-0.1975,France
44,Falaise,9-7-1199,,48.897222,-0.1975,France
49,Seez,14-7-1199,,48.6053,0.1719,France
50,Seez,15-7-1199,,48.6053,0.1719,France
51,Seez,16-7-1199,,48.6053,0.1719,France
52,Vaudreuil,17-7-1199,,49.2569,1.2067,France
53,Vaudreuil,18-7-1199,,49.2569,1.2067,France
54,Verneuil,19-7-1199,,48.7394,0.9286,France
55,Roche-Orival,19-7-1199,,49.32627753,1.020096175,France
56,Roche-Orival,20-7-1199,,49.32627753,1.020096175,France
57,Roche-Orival,21-7-1199,,49.32627753,1.020096175,France
59,Verneuil,23-7-1199,,48.7394,0.9286,France
60,Verneuil,24-7-1199,,48.7394,0.9286,France
61,Verneuil,25-7-1199,,48.7394,0.9286,France
66,Roche-Orival,30-7-1199,,49.32627753,1.020096175,France
67,Rouen,30-7-1199,,49.442778,1.088611,France
68,Roche-Orival,31-7-1199,,49.32627753,1.020096175,France
69,Rouen,31-7-1199,,49.442778,1.088611,France
70,Rouen,1-8-1199,,49.442778,1.088611,France
72,Chambrai,3-8-1199,,49.0758,1.3069,France
73,Rouen,4-8-1199,,49.442778,1.088611,France
75,Argentan,6-8-1199,,48.75,-0.02,France
76,Rouen,6-8-1199,,49.442778,1.088611,France
77,Argentan,7-8-1199,,48.75,-0.02,France
78,Seez,7-8-1199,,48.6053,0.1719,France
79,Seez,8-8-1199,,48.6053,0.1719,France
81,Rouen,10-8-1199,,49.442778,1.088611,France
89,Roche-Andely,18-8-1199,,49.238,1.4025,France
90,Roche-Andely,19-8-1199,,49.238,1.4025,France
91,Vaudreuil,19-8-1199,,49.2569,1.2067,France
92,Vaudreuil,20-8-1199,,49.2569,1.2067,France
93,Roche-Orival,21-8-1199,,49.32627753,1.020096175,France
94,Rouen,22-8-1199,,49.442778,1.088611,France
95,Rouen,23-8-1199,,49.442778,1.088611,France
96,Rouen,24-8-1199,,49.442778,1.088611,France
97,Rouen,25-8-1199,,49.442778,1.088611,France
98,Rouen,26-8-1199,,49.442778,1.088611,France
100,Roche-Andely,28-8-1199,,49.238,1.4025,France
101,Roche-Andely,29-8-1199,,49.238,1.4025,France
102,Roche-Andely,30-8-1199,,49.238,1.4025,France
103,Rouen,30-8-1199,,49.442778,1.088611,France
104,Roche-Andely,31-8-1199,,49.238,1.4025,France
105,Roche-Andely,1-9-1199,,49.238,1.4025,France
107,Rouen,3-9-1199,,49.442778,1.088611,France
108,Orival,4-9-1199,,49.3128,0.9975,France
109,Orival,5-9-1199,,49.3128,0.9975,France
110,Orival,6-9-1199,,49.3128,0.9975,France
111,Rouen,6-9-1199,,49.442778,1.088611,France
112,Rouen,7-9-1199,,49.442778,1.088611,France
113,Lire,8-9-1199,,48.9186,0.7508,France
117,Bourg-le-Roi,12-9-1199,,48.3461,0.1319,France
118,St. Remy,13-9-1199,,47.3981,-0.3144,France
121,Bourg-le-Roi,16-9-1199,,48.3461,0.1319,France
122,Bourg-le-Roi,17-9-1199,,48.3461,0.1319,France
123,Anvers-le-Homont,18-9-1199,,47.903055,-0.350555,France
127,Le Mans,22-9-1199,,48.0077,0.1984,France
128,Le Mans,23-9-1199,,48.0077,0.1984,France
129,Chinon,23-9-1199,,47.1678,0.2436,France
130,Chinon,24-9-1199,,47.1678,0.2436,France
131,Chinon,25-9-1199,,47.1678,0.2436,France
132,Chinon,26-9-1199,,47.1678,0.2436,France
133,Le Mans,27-9-1199,,48.0077,0.1984,France
134,Le Mans,28-9-1199,,48.0077,0.1984,France
135,Le Mans,29-9-1199,,48.0077,0.1984,France
136,Chinon,29-9-1199,,47.1678,0.2436,France
137,Le Mans,30-9-1199,,48.0077,0.1984,France
143,Saumur,6-10-1199,,47.26,-0.0769,France
145,Le Mans,8-10-1199,,48.0077,0.1984,France
146,Le Mans,9-10-1199,,48.0077,0.1984,France
147,Le Mans,10-10-1199,,48.0077,0.1984,France
148,Le Mans,11-10-1199,,48.0077,0.1984,France
149,Verneuil,12-10-1199,,48.7394,0.9286,France
150,Roche-Orival,13-10-1199,,49.32627753,1.020096175,France
151,Vaudreuil,14-10-1199,,49.2569,1.2067,France
152,Roche-Orival,14-10-1199,,49.32627753,1.020096175,France
153,Roche-Orival,15-10-1199,,49.32627753,1.020096175,France
156,Brione,18-10-1199,,49.1956,0.7211,France
159,Chateau d'Andely,21-10-1199,,49.238,1.4025,France
164,Roche-Andely,26-10-1199,,49.238,1.4025,France
165,Roche-Andely,27-10-1199,,49.238,1.4025,France
167,Harcourt,29-10-1199,,49.1678,0.7872,France
172,Alençon,3-11-1199,,48.4306,0.0931,France
174,La Fléche,5-11-1199,,47.6959,-0.0747,France
175,La Fléche,6-11-1199,,47.6959,-0.0747,France
177,Niort,8-11-1199,,46.3258,-0.4606,France
181,La Haye,12-11-1199,,46.9744,0.6986,France
184,Niort,15-11-1199,,46.3258,-0.4606,France
191,Niort,22-11-1199,,46.3258,-0.4606,France
192,Niort,23-11-1199,,46.3258,-0.4606,France
193,Niort,24-11-1199,,46.3258,-0.4606,France
202,Poitiers,3-12-1199,,46.58,0.34,France
203,Poitiers,4-12-1199,,46.58,0.34,France
204,Faye,5-12-1199,,46.0211,0.1475,France
205,Chinon,6-12-1199,,47.1678,0.2436,France
212,Vire,13-12-1199,,47.9742,-0.297,France
214,Cherbourg,15-12-1199,,49.63,-1.62,France
218,Cherbourg,19-12-1199,,49.63,-1.62,France
225,Bures,26-12-1199,,48.5639,0.4022,France
226,Caen,26-12-1199,,49.18,-0.37,France
227,Caen,27-12-1199,,49.18,-0.37,France
228,Caen,28-12-1199,,49.18,-0.37,France
236,Bonneville-sur-Touque,5-1-1200,,49.3389,0.1206,France
238,Lisieux,7-1-1200,,49.15,0.23,France
239,Lire,-1201,,48.9186,0.7508,France
242,Roche-Andely,11-1-1200,,49.238,1.4025,France
245,Roche-Orival,14-1-1200,,49.32627753,1.020096175,France
246,Roche-Orival,15-1-1200,,49.32627753,1.020096175,France
247,St. Vaubourg,16-1-1200,,49.3215,1.0025,France
250,Pont-Audemer,19-1-1200,,49.36,0.51,France
255,Caen,24-1-1200,,49.18,-0.37,France
256,Caen,25-1-1200,,49.18,-0.37,France
257,Caen,26-1-1200,,49.18,-0.37,France
258,Caen,27-1-1200,,49.18,-0.37,France
259,Caen,28-1-1200,,49.18,-0.37,France
260,Bures,29-1-1200,,48.5639,0.4022,France
