id,year,month,date,day,location,notes,month(no),time,OSGridRef,latitude ,longitude,Nation
1,1442,march-may,,,Rouen,?born Rouen,,march-may-1442,,49.442778,1.088611,France
2,1443,May,17,Fri,Rouen,"(brother, Edmund, born there)",5,17-5-1443,,49.442778,1.088611,France
3,1444,,,,,,,1444,,,,
4,1445,Sep,21,Mon,Rouen,"(sister, Elizabeth, born there)",9,21-9-1445,,49.442778,1.088611,France
5,1445,April,18,Sun,Rouen,(planned marriage letter from father to Charles VII),4,18-4-1445,,49.442778,1.088611,France
6,1445,May,,,,,5,5-1445,,,,
7,1445,June,10,Thu,Rouen,(planned marriage letter from father to Charles VII),6,10-6-1445,,49.442778,1.088611,France
8,1445,July,,,Rouen,,7,7-1445,,49.442778,1.088611,France
9,1445,Aug,,,Rouen,,8,8-1445,,49.442778,1.088611,France
10,1445,Sep,,,Rouen,,9,9-1445,,49.442778,1.088611,France
11,1445,Oct,20,Wed,York,Family returned to England from France,10,20-10-1445,SE6030051700,53.957883,-1.0825156,England
12,1446,May,3,Tue,Waltham Abbey,"England (sister, Margaret, born Waltham Abbey, Essex)",5,3-5-1446,TL 38386 00321,51.6846,0.0004,England
13,1449,Oct,21,,Dublin,?Ireland (brother George born Dublin),10,21-10-1449,,53.349722,-6.260278,Republic of Ireland
14,1450,Sep,,,Ludlow,York family returned to England. Edward (8) and Edmund (7) established at Ludlow?,9,9-1450,SO5121074682,52.368,-2.718,England
15,1450,Oct,11,Sun,Walsingham,(?) Duke of York’s Pilgrimage to Walsingham,10,11-10-1450,TF9340036800,52.89385,0.87357,England
16,1451,,,,Ludlow Castle,based in Ludlow Castle?,,1451,SO5086974596,52.3672,-2.723,England
17,1451,,,,Ludlow,Welsh border (Ludlow?) & said to be marching on London,,1451,SO5121074682,52.368,-2.718,England
18,1452,,,,Ludlow,Welsh border (Ludlow?) & said to be marching on London,,1452,SO5121074682,52.368,-2.718,England
19,1452,,,,Ludlow Castle,based in Ludlow Castle?,,1452,SO5086974596,52.3672,-2.723,England
20,1453,,,,Ludlow Castle,based in Ludlow Castle?,,1453,SO5086974596,52.3672,-2.723,England
21,1454,Jan,25,Fri,London,coming to London in evening with father,1,25-1-1454,TQ3248081340,51.515457,-0.092140265,England
22,1454,April,27,Sat,Ludlow Castle,Ludlow Castle with brother Edmund,4,27-4-1454,SO5086974596,52.3672,-2.723,England
23,1454,May,,,,,5,5-1454,,,,
24,1454,June,3,Mon,Ludlow Castle,Ludlow Castle with brother Edmund,6,3-6-1454,SO5086974596,52.3672,-2.723,England
25,1455,May,22,Thu,St Albans,(at the battle – with his father) http://www.british-history.ac.uk/camden-record-soc/vol28/pp148-1635,5,22-5-1455,TL1495307566,51.755,-0.336,England
26,1456,,,,Ludlow,based in Ludlow?,,1456,SO5121074682,52.368,-2.718,England
27,1457,,,,Ludlow,based in Ludlow?,,1457,SO5121074682,52.368,-2.718,England
28,1458,,,,Ludlow,based in Ludlow?,,1458,SO5121074682,52.368,-2.718,England
29,1459,September,?24,Mon,Ludlow Castle,,9,?24-9-1459,SO5086974596,52.3672,-2.723,England
30,1459,Oct,,,Ludlow,No specific dates,10,10-1459,SO5121074682,52.368,-2.718,England
31,1459,Oct,,,Devonshire,"house of Joan, Lady Dynham, No specific dates",10,10-1459,SX7890692188,50.716667,-3.716667,England
32,1459,Oct,12,Fri,,en route to Calais,10,10-1459,,,,
33,1459,Oct,,,Guernsey,"several nights in Guernsey, No specific dates",10,10-1459,,49.45,-2.58,Guernsey
34,1459,Nov,2,Fri,Calais,landed Calais,11,2-11-1459,,50.948056,1.856389,France
35,1459,Dec,,,Calais,,12,12-1459,,50.948056,1.856389,France
36,1460,Jan,,,Calais,,1,1-1460,,50.948056,1.856389,France
37,1460,Feb,,,Calais,,2,2-1460,,50.948056,1.856389,France
38,1460,Mar,,,Calais,,3,3-1460,,50.948056,1.856389,France
39,1460,Apr,,,Calais,,4,4-1460,,50.948056,1.856389,France
40,1460,May,,,Calais,,5,5-1460,,50.948056,1.856389,France
41,1460,June,25,Wed,Calais,,6,25-6-1460,,50.948056,1.856389,France
42,1460,June,26,Thu,Calais,"Calais to Sandwich, Kent",6,26-6-1460,,50.948056,1.856389,France
43,1460,June,26,Thu,Sandwich,"Appears as Sandwich, Kent""",6,26-6-1460,TR3297658137,51.27472,1.33888,England
44,1460,June,27,Fri,Sandwich,? Sandwich,6,27-6-1460,TR3297658137,51.27472,1.33888,England
45,1460,June,27,Fri,Canterbury,? Canterbury,6,27-6-1460,TR1454057430,51.275608,1.0745524,England
46,1460,June,28,Sat,Canterbury,,6,28-6-1460,TR1454057430,51.275608,1.0745524,England
47,1460,June,29,Sun,Rochester,,6,29-6-1460,TQ7414268559,51.389355,0.50145239,England
48,1460,June,30,Mon,Dartford,Dorceffort,6,30-6-1460,TQ5439173560,51.44,0.22,England
49,1460,July,1,Tue,Dartford,? Dartford,7,1-7-1460,TQ5439173560,51.44,0.22,England
50,1460,July,1,Tue,Southwark,? Southwark,7,1-7-1460,TQ3328274077,51.45,-0.083333,England
