id,year,day,month,location,comments,date,OSGridRef,latitude,longitude,Nation
1,1100,2,Aug,Winchester,,2-8-1100,SU4779329466,51.062549,-1.3193687,England
2,1100,3,Aug,Winchester,,3-8-1100,SU4779329466,51.062549,-1.3193687,England
3,1100,4,Aug,London,,4-8-1100,TQ3248081340,51.515457,-0.092140265,England
4,1100,5,Aug,Westminster,(coronation),5-8-1100,TQ3016079670,51.500988,-0.12617168,England
5,1100,14,Sept,Westminster,,14-9-1100,TQ3016079670,51.500988,-0.12617168,England
6,1100,29,Sept,Salisbury,,29-9-1100,SU1428229527,51.064904,-1.7975682,England
7,1100,,c Oct,Marlborough,,1100,SU1887169033,51.42,-1.73,England
9,1100,11,Nov,Westminster,(marriage),11-11-1100,TQ3016079670,51.500988,-0.12617168,England
10,1100,2,Dec,Newnham-on-Severn,,2-12-1100,SO6906811691,51.803,-2.45,England
11,1100,25,Dec,Westminster,,25-12-1100,TQ3016079670,51.500988,-0.12617168,England
12,1101,10,Mar,Dover,,10-3-1101,TR3161341898,51.1295,1.3089,England
13,1101,12,Mar,Rochester,,12-3-1101,TQ7414268559,51.389355,0.50145239,England
14,1101,21,Apr,Winchester,,21-4-1101,SU4779329466,51.062549,-1.3193687,England
15,1101,9,June,St Albans,,9-6-1101,TL1480007300,51.752638,-0.33830962,England
16,1101,24,June,Pevensey,,24-6-1101,TQ6480304912,50.8203,0.3383,England
17,1101,31,July,Winchester,,31-7-1101,SU4779329466,51.062549,-1.3193687,England
18,1101,3,Sept,Windsor,,3-9-1101,SU9683776912,51.482886,-0.60683638,England
19,1101,,c Oct,Winchester,,1101,SU4779329466,51.062549,-1.3193687,England
20,1101,25,Dec,Westminster,,25-12-1101,TQ3016079670,51.500988,-0.12617168,England
21,1102,8,Feb,Westbury,,8-2-1102,ST8676951222,51.26,-2.191,England
22,1102,6,Apr,Winchester,,6-4-1102,SU4779329466,51.062549,-1.3193687,England
23,1102,25,May,Westminster,,25-5-1102,TQ3016079670,51.500988,-0.12617168,England
24,1102,,c June,Arundel,,1102,TQ0188707093,50.85439,-0.5539,England
25,1102,,c July,Bridgenorth,,1102,SO7164293098,52.535,-2.4195,England
26,1102,,c July-Aug,Blyth (Notts),,1102,SK6251187104,53.3771,-1.0618,England
27,1102,,c July-Aug,Tickhill,,1102,SK5900092999,53.43049,-1.11348,England
